REGION,TECHNOLOGY,YEAR,VALUE
"Region","BiomassExtraction",2020,1314
"Region","BiomassExtraction",2021,1314
"Region","BiomassExtraction",2022,1314
"Region","BiomassExtraction",2023,1314
"Region","BiomassExtraction",2024,1314
"Region","BiomassExtraction",2025,1314
"Region","BiomassPlant",2020,0.0438
"Region","BiomassPlant",2021,0.0438
"Region","BiomassPlant",2022,0.0438
"Region","BiomassPlant",2023,0.0438
"Region","BiomassPlant",2024,0.0438
"Region","BiomassPlant",2025,0.0438
"Region","GasExtraction",2020,5375.4
"Region","GasExtraction",2021,5375.4
"Region","GasExtraction",2022,5375.4
"Region","GasExtraction",2023,5375.4
"Region","GasExtraction",2024,5375.4
"Region","GasExtraction",2025,5375.4
"Region","GasTurbine",2020,0.04306
"Region","GasTurbine",2021,0.04306
"Region","GasTurbine",2022,0.04306
"Region","GasTurbine",2023,0.04306
"Region","GasTurbine",2024,0.04306
"Region","GasTurbine",2025,0.04306
"Region","SolarPV",2020,0.01314
"Region","SolarPV",2021,0.01314
"Region","SolarPV",2022,0.01314
"Region","SolarPV",2023,0.01314
"Region","SolarPV",2024,0.01314
"Region","SolarPV",2025,0.01314
"Region","Sun",2020,0.01314
"Region","Sun",2021,0.01314
"Region","Sun",2022,0.01314
"Region","Sun",2023,0.01314
"Region","Sun",2024,0.01314
"Region","Sun",2025,0.01314
